Respondent_id,Program,Batch,Institution,Delivery_mode,Gender,Academic_year,Trainer_effectiveness,Curriculum_relevance,Pace_of_delivery,Support_Mentorship,Platform,Overall_satisfaction,Would_recommend,Open_feedback,Batch_date
STU-00954,Cybersecurity & Ethical Hacking,May 2025 Batch,Neotia University,Offline,Male,3rd Year,3.0,3.0,3.0,4.0,3.0,3,No,Trainer seemed unprepared in a couple of sessions.,2025-05-01
STU-01444,Cybersecurity & Ethical Hacking,Jul 2025 Batch,JIS College of Engineering,Online,Male,Working Professional,5.0,5.0,4.0,5.0,5.0,5,Yes,Practical assignments made the concepts much easier to understand.,2025-07-01
STU-00100,Data Science,Jul 2026 Batch,Narasingh Choudhuri Autonomous College,Online,Male,Graduate,4.0,3.0,3.0,3.0,3.0,3,No,"Average experience, some sessions were better than others.",2026-07-01
STU-01657,Networking Fundamentals,Apr 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,2nd Year,5.0,4.0,3.0,5.0,3.0,4,Yes,Session quality varied depending on the trainer.,2025-04-01
STU-01491,UI/UX Design,Apr 2025 Batch,Narasingh Choudhuri Autonomous College,Hybrid,Female,1st Year,4.0,4.0,3.0,4.0,4.0,4,Yes,Could use an extra week or two to cover everything properly.,2025-04-01
STU-01047,Cybersecurity & Ethical Hacking,Mar 2025 Batch,Government College of Engineering & Textile Technology,Offline,Female,1st Year,3.0,4.0,3.0,4.0,2.0,3,Yes,"The program was decent overall, nothing major to complain about.",2025-03-01
STU-00358,Competitive Programming,Feb 2025 Batch,St. Xavier's College Kolkata,Online,Male,2nd Year,4.0,3.0,3.0,3.0,2.0,4,Yes,The online platform kept lagging during live sessions.,2025-02-01
STU-00944,Agentic AI,Mar 2025 Batch,Government College of Engineering & Textile Technology,Offline,Male,4th Year,4.0,4.0,3.0,4.0,4.0,4,Yes,"Pace needs to slow down, especially for beginners in the batch.",2025-03-01
STU-00572,Cloud Computing (AWS),Feb 2025 Batch,Techno India University,Hybrid,Female,2nd Year,4.0,3.0,5.0,4.0,3.0,3,Yes,Wanted more advanced/real-world case studies in the curriculum.,2025-02-01
STU-01819,AI in Food Technology,Jul 2026 Batch,Government College of Engineering & Textile Technology,Online,Male,Graduate,4.0,5.0,4.0,4.0,4.0,4,Yes,"Great balance of theory and practicals, exceeded my expectations.",2026-07-01
STU-01138,Weather Forecasting ML Project,Oct 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,Graduate,5.0,5.0,5.0,5.0,4.0,5,Yes,"Great balance of theory and practicals, exceeded my expectations.",2025-10-01
STU-00780,Generative AI,Mar 2026 Batch,Government College of Engineering & Textile Technology,Online,Female,4th Year,4.0,4.0,3.0,3.0,3.0,4,No,"Content was okay, though a few topics felt rushed.",2026-03-01
STU-01209,AI in Food Technology,Sep 2025 Batch,Government College of Engineering & Textile Technology,Hybrid,Male,3rd Year,5.0,5.0,4.0,4.0,3.0,4,Yes,"Lab access was unreliable, lost a lot of time troubleshooting.",2025-09-01
STU-01762,Cloud Computing (AWS),Aug 2026 Batch,Techno India University,Online,Female,Working Professional,4.0,4.0,4.0,4.0,4.0,4,Yes,"Pace needs to slow down, especially for beginners in the batch.",2026-08-01
STU-01699,Python Programming,Feb 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,Graduate,3.0,2.0,3.0,3.0,3.0,2,No,Curriculum could include more project-based learning. Would have liked more one-on-one mentorship time.,2025-02-01
STU-00271,Web Development,Aug 2026 Batch,Direct / Online (ASD),Hybrid,Female,3rd Year,1.0,3.0,2.0,3.0,2.0,2,No,The trainer could explain concepts more clearly. Recorded session links took too long to be uploaded.,2026-08-01
STU-00119,Data Science,Aug 2026 Batch,Government College of Engineering & Textile Technology,Online,Male,4th Year,3.0,3.0,3.0,3.0,3.0,3,Yes,,2026-08-01
STU-00118,AI in Food Technology,Mar 2026 Batch,St. Xavier's College Kolkata,Online,Female,Graduate,4.0,5.0,4.0,4.0,4.0,4,Yes,"Great balance of theory and practicals, exceeded my expectations.",2026-03-01
STU-01902,Machine Learning,Apr 2026 Batch,Independent / Working Professional,Online,Male,Graduate,5.0,5.0,4.0,5.0,5.0,5,Yes,The trainer explained concepts clearly and was always ready to help.,2026-04-01
STU-01615,Agentic AI,Jul 2026 Batch,Techno India University,Online,Male,Working Professional,3.0,2.0,2.0,3.0,2.0,2,No,Felt a few modules were not very relevant to the job market. Explanations were sometimes too fast to follow properly.,2026-07-01
STU-01464,Advanced Excel & Power BI,Feb 2026 Batch,Government College of Engineering & Textile Technology,Online,Male,4th Year,4.0,4.0,4.0,4.0,4.0,4,Yes,"Really enjoyed the sessions, the trainer kept things engaging.",2026-02-01
STU-00978,Full Stack Development,Mar 2025 Batch,Techno India University,Online,Female,Graduate,2.0,2.0,1.0,3.0,2.0,2,No,"Struggled to keep up as new topics were introduced too quickly. Sessions felt monotonous, needed more interactive teaching.",2025-03-01
STU-00741,Full Stack Development,Sep 2025 Batch,Neotia University,Hybrid,Female,1st Year,5.0,4.0,5.0,4.0,2.0,4,Yes,Had connectivity issues on the platform almost every week.,2025-09-01
STU-01084,Networking Fundamentals,May 2026 Batch,Techno India University,Online,Female,1st Year,4.0,4.0,3.0,4.0,2.0,3,No,Recorded session links took too long to be uploaded.,2026-05-01
STU-00165,Agentic AI,May 2025 Batch,Neotia University,Online,Female,3rd Year,4.0,4.0,3.0,4.0,3.0,3,Yes,"Pace needs to slow down, especially for beginners in the batch.",2025-05-01
STU-01257,App Development (Android),Aug 2026 Batch,Techno India University,Hybrid,Male,3rd Year,3.0,2.0,3.0,4.0,3.0,3,Yes,Some topics felt outdated compared to current industry trends.,2026-08-01
STU-01484,Internet of Things (IoT),Jun 2025 Batch,Government College of Engineering & Textile Technology,Offline,Female,Working Professional,5.0,4.0,3.0,4.0,3.0,4,Yes,Too much content packed into too few sessions.,2025-06-01
STU-01791,Agentic AI,Aug 2026 Batch,Maulana Azad College,Online,Male,2nd Year,2.0,2.0,2.0,3.0,2.0,2,No,Explanations were sometimes too fast to follow properly. Wanted more advanced/real-world case studies in the curriculum.,2026-08-01
STU-01584,DevOps,Jul 2026 Batch,Government College of Engineering & Textile Technology,Online,Female,1st Year,4.0,4.0,4.0,4.0,4.0,4,Yes,The projects assigned really helped me apply what was taught.,2026-07-01
STU-01593,Cybersecurity & Ethical Hacking,May 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,3rd Year,2.0,2.0,3.0,4.0,2.0,3,Yes,,2025-05-01
STU-00143,Full Stack Development,Jul 2026 Batch,Government College of Engineering & Textile Technology,Online,Female,Working Professional,4.0,3.0,3.0,3.0,3.0,3,Yes,Wanted more advanced/real-world case studies in the curriculum.,2026-07-01
STU-00114,Full Stack Development,Jan 2025 Batch,Maulana Azad College,Online,Female,3rd Year,3.0,3.0,3.0,4.0,3.0,3,Yes,Session quality varied depending on the trainer.,2025-01-01
STU-01188,Machine Learning,Aug 2026 Batch,Independent / Working Professional,Online,Male,4th Year,4.0,3.0,4.0,4.0,3.0,4,Yes,"Content was okay, though a few topics felt rushed.",2026-08-01
STU-00379,Full Stack Development,Jun 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,3rd Year,3.0,4.0,3.0,4.0,2.0,3,No,Recorded session links took too long to be uploaded.,2025-06-01
STU-00064,Python Programming,Apr 2025 Batch,Neotia University,Hybrid,Female,Working Professional,4.0,5.0,3.0,3.0,4.0,3,Yes,Could use an extra week or two to cover everything properly.,2025-04-01
STU-01377,Internet of Things (IoT),Apr 2025 Batch,St. Xavier's College Kolkata,Hybrid,Male,2nd Year,4.0,5.0,5.0,4.0,5.0,4,Yes,The support team responded quickly whenever I had doubts.,2025-04-01
STU-01512,Cybersecurity & Ethical Hacking,Aug 2026 Batch,JIS College of Engineering,Offline,Female,Working Professional,3.0,4.0,3.0,3.0,3.0,3,Yes,"Content was okay, though a few topics felt rushed.",2026-08-01
STU-00187,Generative AI,Nov 2025 Batch,Neotia University,Online,Male,Graduate,5.0,5.0,3.0,5.0,5.0,4,Yes,Session quality varied depending on the trainer.,2025-11-01
STU-01086,Cybersecurity & Ethical Hacking,Jun 2025 Batch,Techno India University,Offline,Male,Graduate,5.0,5.0,4.0,5.0,4.0,5,Yes,"Clear explanations, useful resources, and prompt doubt-clearing sessions.",2025-06-01
STU-01095,AI in Food Technology,Mar 2025 Batch,Techno India University,Offline,Male,4th Year,4.0,4.0,3.0,4.0,3.0,3,No,"Average experience, some sessions were better than others.",2025-03-01
STU-01019,Machine Learning,Apr 2025 Batch,Techno India University,Hybrid,Female,3rd Year,4.0,4.0,3.0,4.0,4.0,4,Yes,Could use an extra week or two to cover everything properly.,2025-04-01
STU-00295,Agentic AI,Nov 2025 Batch,St. Xavier's College Kolkata,Online,Male,3rd Year,4.0,3.0,3.0,4.0,2.0,3,Yes,The online platform kept lagging during live sessions.,2025-11-01
STU-01233,Python Programming,Apr 2026 Batch,St. Xavier's College Kolkata,Hybrid,Female,3rd Year,3.0,3.0,2.0,2.0,2.0,3,Yes,"Pace needs to slow down, especially for beginners in the batch.",2026-04-01
STU-01739,Competitive Programming,Feb 2025 Batch,Techno India University,Online,Female,Working Professional,4.0,3.0,2.0,3.0,3.0,3,Yes,Could use an extra week or two to cover everything properly.,2025-02-01
STU-00287,Blockchain Basics,Sep 2025 Batch,St. Xavier's College Kolkata,Online,Female,Graduate,5.0,4.0,4.0,4.0,4.0,4,Yes,"Very satisfied, the mentors were patient and encouraging throughout.",2025-09-01
STU-01861,Networking Fundamentals,Mar 2026 Batch,Narasingh Choudhuri Autonomous College,Hybrid,Male,3rd Year,2.0,2.0,1.0,2.0,1.0,2,No,Too much content packed into too few sessions.,2026-03-01
STU-01627,Full Stack Development,Sep 2025 Batch,Maulana Azad College,Offline,Female,4th Year,3.0,3.0,3.0,4.0,3.0,3,No,Session quality varied depending on the trainer.,2025-09-01
STU-00301,Generative AI,Mar 2025 Batch,JIS College of Engineering,Online,Female,1st Year,4.0,4.0,4.0,3.0,3.0,3,Yes,"It was fine, but I expected a bit more depth in the later modules.",2025-03-01
STU-01974,Web Development,Oct 2025 Batch,St. Xavier's College Kolkata,Online,Male,Graduate,4.0,3.0,4.0,4.0,4.0,4,Yes,"Content was okay, though a few topics felt rushed.",2025-10-01
STU-00316,Cybersecurity & Ethical Hacking,Sep 2025 Batch,Techno India University,Online,Female,4th Year,4.0,4.0,4.0,4.0,3.0,4,Yes,"Overall okay experience, a few sessions could have been better planned.",2025-09-01
STU-00877,Networking Fundamentals,Sep 2025 Batch,Maulana Azad College,Online,Male,4th Year,5.0,5.0,5.0,5.0,5.0,5,Yes,The program content was up to date and industry relevant.,2025-09-01
STU-00673,Cloud Computing (AWS),Feb 2025 Batch,Independent / Working Professional,Online,Female,2nd Year,3.0,3.0,2.0,4.0,3.0,3,Yes,"The sessions moved too fast, hard to keep up with the pace.",2025-02-01
STU-00360,Web Development,Mar 2025 Batch,Techno India University,Online,Male,4th Year,5.0,4.0,3.0,4.0,3.0,4,Yes,"Overall okay experience, a few sessions could have been better planned.",2025-03-01
STU-00131,DevOps,Oct 2025 Batch,Techno India University,Online,Female,3rd Year,3.0,4.0,4.0,4.0,4.0,4,Yes,"Decent program, could use a bit more structure in scheduling.",2025-10-01
STU-00856,DevOps,Dec 2025 Batch,Maulana Azad College,Hybrid,Male,3rd Year,3.0,3.0,3.0,3.0,2.0,2,Yes,Recorded session links took too long to be uploaded.,2025-12-01
STU-01330,AI in Biotechnology,Sep 2025 Batch,Narasingh Choudhuri Autonomous College,Online,Male,1st Year,3.0,3.0,3.0,3.0,3.0,3,No,"It was fine, but I expected a bit more depth in the later modules.",2025-09-01
STU-00190,Robotics & Embedded Systems,Oct 2025 Batch,Techno India University,Online,Male,4th Year,2.0,2.0,1.0,3.0,3.0,2,Yes,"Wish there was more time per topic, felt rushed throughout.",2025-10-01
STU-00028,AI in Biotechnology,Oct 2025 Batch,Government College of Engineering & Textile Technology,Offline,Male,3rd Year,3.0,4.0,3.0,4.0,2.0,3,Yes,,2025-10-01
STU-00838,Machine Learning,Mar 2026 Batch,St. Xavier's College Kolkata,Hybrid,Female,3rd Year,3.0,2.0,2.0,2.0,2.0,2,Yes,Wanted more advanced/real-world case studies in the curriculum.,2026-03-01
STU-01566,Weather Forecasting ML Project,Feb 2026 Batch,Government College of Engineering & Textile Technology,Online,Male,2nd Year,4.0,3.0,2.0,3.0,2.0,3,Yes,Too much content packed into too few sessions.,2026-02-01
STU-00900,Database Management (SQL),Nov 2025 Batch,Techno India University,Online,Female,2nd Year,4.0,4.0,3.0,4.0,4.0,4,Yes,"Pace needs to slow down, especially for beginners in the batch.",2025-11-01
STU-01582,Internet of Things (IoT),Jun 2026 Batch,St. Xavier's College Kolkata,Online,Male,Working Professional,5.0,5.0,5.0,5.0,5.0,4,No,The curriculum was well structured and relevant to current industry needs.,2026-06-01
STU-01764,Cybersecurity & Ethical Hacking,Jul 2026 Batch,JIS College of Engineering,Online,Male,Graduate,3.0,3.0,2.0,3.0,3.0,3,Yes,"Wish there was more time per topic, felt rushed throughout.",2026-07-01
STU-00757,Blockchain Basics,May 2025 Batch,Government College of Engineering & Textile Technology,Online,Female,3rd Year,3.0,4.0,3.0,3.0,3.0,3,Yes,"Sessions felt monotonous, needed more interactive teaching.",2025-05-01
STU-00620,Weather Forecasting ML Project,Feb 2025 Batch,St. Xavier's College Kolkata,Online,Female,2nd Year,4.0,4.0,4.0,4.0,4.0,4,Yes,"Really enjoyed the sessions, the trainer kept things engaging.",2025-02-01
STU-00758,Generative AI,Feb 2025 Batch,JIS College of Engineering,Online,Female,3rd Year,5.0,4.0,3.0,4.0,4.0,4,Yes,"Content was okay, though a few topics felt rushed.",2025-02-01
STU-01968,Cloud Computing (AWS),Feb 2025 Batch,Independent / Working Professional,Hybrid,Female,2nd Year,4.0,4.0,3.0,4.0,4.0,4,Yes,"Average experience, some sessions were better than others.",2025-02-01
STU-01466,Full Stack Development,Mar 2026 Batch,JIS College of Engineering,Online,Female,3rd Year,3.0,3.0,2.0,3.0,1.0,3,Yes,"Overall okay experience, a few sessions could have been better planned.",2026-03-01
STU-01202,Python Programming,Mar 2026 Batch,Techno India University,Online,Female,Working Professional,4.0,4.0,4.0,5.0,4.0,4,No,No comments.,2026-03-01
STU-01562,Full Stack Development,Apr 2026 Batch,Neotia University,Online,Male,2nd Year,4.0,4.0,5.0,4.0,5.0,5,Yes,The trainer explained concepts clearly and was always ready to help.,2026-04-01
STU-01163,App Development (Android),Apr 2026 Batch,Maulana Azad College,Online,Male,2nd Year,5.0,4.0,4.0,5.0,4.0,4,No,,2026-04-01
STU-01268,Cloud Computing (AWS),Aug 2026 Batch,Techno India University,Online,Female,Graduate,4.0,4.0,3.0,3.0,3.0,3,No,"Wish there was more time per topic, felt rushed throughout.",2026-08-01
STU-00267,Cybersecurity & Ethical Hacking,Feb 2026 Batch,Maulana Azad College,Offline,Male,Working Professional,4.0,4.0,4.0,4.0,4.0,4,Yes,The program content was up to date and industry relevant.,2026-02-01
STU-00595,Cybersecurity & Ethical Hacking,Feb 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,3rd Year,4.0,4.0,2.0,4.0,3.0,3,Yes,Could use an extra week or two to cover everything properly.,2025-02-01
STU-00705,Python Programming,Nov 2025 Batch,Techno India University,Hybrid,Male,Working Professional,3.0,3.0,2.0,4.0,3.0,3,No,Could use an extra week or two to cover everything properly.,2025-11-01
STU-00326,AI in Food Technology,Apr 2025 Batch,Maulana Azad College,Hybrid,Female,4th Year,4.0,3.0,3.0,3.0,3.0,3,Yes,Curriculum could include more project-based learning.,2025-04-01
STU-01128,Data Science,Apr 2026 Batch,Neotia University,Online,Male,Working Professional,4.0,3.0,4.0,4.0,4.0,4,Yes,Felt a few modules were not very relevant to the job market.,2026-04-01
STU-00864,App Development (Android),Feb 2025 Batch,Techno India University,Online,Female,3rd Year,3.0,4.0,3.0,4.0,3.0,3,Yes,Session quality varied depending on the trainer.,2025-02-01
STU-00631,Robotics & Embedded Systems,Jun 2026 Batch,Techno India University,Online,Female,3rd Year,4.0,3.0,3.0,3.0,4.0,3,No,"Reasonably good, though I expected slightly more hands-on practice.",2026-06-01
STU-01495,Advanced Excel & Power BI,Mar 2025 Batch,St. Xavier's College Kolkata,Hybrid,Male,3rd Year,4.0,4.0,4.0,5.0,3.0,4,Yes,No comments.,2025-03-01
STU-00076,Competitive Programming,Feb 2025 Batch,Government College of Engineering & Textile Technology,Offline,Female,Working Professional,5.0,4.0,4.0,4.0,3.0,4,Yes,"The program was decent overall, nothing major to complain about.",2025-02-01
STU-01434,Machine Learning,Apr 2026 Batch,Heritage Institute of Technology,Online,Female,2nd Year,3.0,3.0,3.0,3.0,4.0,3,No,Trainer seemed unprepared in a couple of sessions.,2026-04-01
STU-01607,Advanced Excel & Power BI,Aug 2025 Batch,St. Xavier's College Kolkata,Online,Male,3rd Year,4.0,4.0,4.0,4.0,4.0,4,Yes,"Great mentorship throughout the program, felt supported at every step.",2025-08-01
STU-00902,Java Development,Sep 2025 Batch,JIS College of Engineering,Offline,Female,Graduate,4.0,4.0,4.0,5.0,4.0,4,No,"Enjoyed every module, especially the live project work.",2025-09-01
STU-00718,Advanced Excel & Power BI,Sep 2025 Batch,Neotia University,Online,Male,4th Year,4.0,4.0,3.0,4.0,4.0,4,Yes,"The program was decent overall, nothing major to complain about.",2025-09-01
STU-00738,Internet of Things (IoT),Mar 2025 Batch,Techno India University,Online,Male,3rd Year,3.0,4.0,3.0,3.0,3.0,3,No,The trainer could explain concepts more clearly.,2025-03-01
STU-01269,Full Stack Development,May 2026 Batch,Government College of Engineering & Textile Technology,Online,Male,2nd Year,4.0,4.0,3.0,4.0,4.0,4,No,"Pace needs to slow down, especially for beginners in the batch.",2026-05-01
STU-01308,Weather Forecasting ML Project,Apr 2025 Batch,JIS College of Engineering,Online,Female,2nd Year,5.0,4.0,5.0,5.0,4.0,5,Yes,The support team responded quickly whenever I had doubts.,2025-04-01
STU-00830,Machine Learning,May 2025 Batch,Government College of Engineering & Textile Technology,Hybrid,Prefer not to say,Working Professional,5.0,5.0,4.0,5.0,4.0,4,No,The projects assigned really helped me apply what was taught.,2025-05-01
STU-00834,Weather Forecasting ML Project,Jul 2026 Batch,JIS College of Engineering,Offline,Female,Working Professional,4.0,3.0,3.0,3.0,3.0,3,Yes,Wanted more advanced/real-world case studies in the curriculum.,2026-07-01
STU-00181,AI in Biotechnology,Aug 2026 Batch,Neotia University,Online,Male,4th Year,2.0,3.0,3.0,2.0,3.0,2,Yes,"Sessions felt monotonous, needed more interactive teaching. The sessions moved too fast, hard to keep up with the pace.",2026-08-01
STU-00743,Java Development,Sep 2025 Batch,Neotia University,Online,Male,2nd Year,4.0,4.0,3.0,4.0,4.0,4,Yes,"The program was decent overall, nothing major to complain about.",2025-09-01
STU-01638,Blockchain Basics,Jan 2025 Batch,JIS College of Engineering,Online,Female,Graduate,5.0,5.0,5.0,5.0,5.0,5,Yes,The projects assigned really helped me apply what was taught.,2025-01-01
STU-00916,Machine Learning,Nov 2025 Batch,JIS College of Engineering,Hybrid,Female,2nd Year,3.0,4.0,2.0,3.0,2.0,3,Yes,"Wish there was more time per topic, felt rushed throughout.",2025-11-01
STU-00377,Data Science,Apr 2025 Batch,Techno India University,Hybrid,Male,3rd Year,4.0,3.0,3.0,4.0,3.0,4,Yes,"Reasonably good, though I expected slightly more hands-on practice.",2025-04-01
STU-01979,Python Programming,Apr 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,2nd Year,4.0,5.0,4.0,5.0,5.0,5,Yes,Practical assignments made the concepts much easier to understand.,2025-04-01
STU-00024,Networking Fundamentals,Oct 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,3rd Year,4.0,3.0,3.0,4.0,4.0,4,Yes,,2025-10-01
STU-00347,Advanced Excel & Power BI,Apr 2026 Batch,Government College of Engineering & Textile Technology,Hybrid,Female,3rd Year,4.0,5.0,4.0,5.0,4.0,4,Yes,"Really enjoyed the sessions, the trainer kept things engaging.",2026-04-01
STU-01635,Cybersecurity & Ethical Hacking,Sep 2025 Batch,Government College of Engineering & Textile Technology,Offline,Female,3rd Year,4.0,5.0,5.0,3.0,3.0,4,Yes,"Decent program, could use a bit more structure in scheduling.",2025-09-01
STU-00269,AI in Biotechnology,Oct 2025 Batch,JIS College of Engineering,Online,Female,2nd Year,5.0,5.0,4.0,5.0,5.0,5,Yes,Trainer was knowledgeable and made even tough topics easy to grasp.,2025-10-01
STU-00009,Networking Fundamentals,May 2025 Batch,Techno India University,Online,Male,Graduate,5.0,5.0,5.0,5.0,5.0,5,Yes,"Well-paced sessions and very approachable trainer, learned a lot.",2025-05-01
STU-00229,Python Programming,Jun 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,Working Professional,3.0,3.0,4.0,4.0,2.0,3,Yes,"Reasonably good, though I expected slightly more hands-on practice.",2025-06-01
STU-00490,Cybersecurity & Ethical Hacking,Mar 2025 Batch,Government College of Engineering & Textile Technology,Offline,Male,3rd Year,3.0,4.0,3.0,3.0,3.0,3,No,"It was fine, but I expected a bit more depth in the later modules.",2025-03-01
STU-00214,Cloud Computing (AWS),Feb 2025 Batch,St. Xavier's College Kolkata,Online,Female,Graduate,2.0,3.0,3.0,3.0,3.0,3,Yes,Trainer seemed unprepared in a couple of sessions.,2025-02-01
STU-00818,Advanced Excel & Power BI,Jul 2026 Batch,Techno India University,Online,Female,Graduate,4.0,4.0,3.0,4.0,3.0,3,No,Too much content packed into too few sessions.,2026-07-01
STU-01451,Data Science,May 2026 Batch,St. Xavier's College Kolkata,Online,Male,4th Year,4.0,5.0,5.0,4.0,4.0,4,No,Nothing to add.,2026-05-01
STU-00450,Java Development,Oct 2025 Batch,Heritage Institute of Technology,Hybrid,Male,3rd Year,3.0,4.0,3.0,4.0,4.0,4,Yes,Would appreciate a more engaging teaching style.,2025-10-01
STU-00726,Python Programming,Jul 2026 Batch,Government College of Engineering & Textile Technology,Offline,Female,Working Professional,4.0,3.0,3.0,5.0,5.0,4,Yes,Would like the syllabus to be updated more frequently.,2026-07-01
STU-00016,DevOps,Jul 2025 Batch,JIS College of Engineering,Hybrid,Male,3rd Year,4.0,3.0,3.0,3.0,3.0,4,Yes,Felt a few modules were not very relevant to the job market.,2025-07-01
STU-01802,AI in Food Technology,Jul 2026 Batch,Techno India University,Online,Female,3rd Year,5.0,4.0,3.0,4.0,3.0,4,Yes,"It was fine, but I expected a bit more depth in the later modules.",2026-07-01
STU-01772,AI in Food Technology,Mar 2025 Batch,Techno India University,Online,Male,3rd Year,4.0,4.0,4.0,4.0,3.0,4,Yes,"The program was decent overall, nothing major to complain about.",2025-03-01
STU-00644,Internet of Things (IoT),Sep 2025 Batch,Independent / Working Professional,Online,Male,3rd Year,5.0,5.0,5.0,5.0,4.0,5,Yes,The trainer explained concepts clearly and was always ready to help.,2025-09-01
STU-01302,Networking Fundamentals,Apr 2025 Batch,JIS College of Engineering,Offline,Male,4th Year,2.0,3.0,4.0,2.0,3.0,3,No,"Overall okay experience, a few sessions could have been better planned.",2025-04-01
STU-01334,AI in Food Technology,Apr 2026 Batch,Government College of Engineering & Textile Technology,Offline,Female,3rd Year,5.0,4.0,3.0,4.0,4.0,4,Yes,"Decent program, could use a bit more structure in scheduling.",2026-04-01
STU-00547,Competitive Programming,Mar 2026 Batch,Neotia University,Hybrid,Female,4th Year,4.0,4.0,4.0,5.0,4.0,4,Yes,Practical assignments made the concepts much easier to understand.,2026-03-01
STU-01154,Internet of Things (IoT),Mar 2025 Batch,St. Xavier's College Kolkata,Hybrid,Female,4th Year,5.0,4.0,4.0,5.0,4.0,5,Yes,The projects assigned really helped me apply what was taught.,2025-03-01
STU-00641,Robotics & Embedded Systems,Aug 2025 Batch,Direct / Online (ASD),Hybrid,Female,2nd Year,3.0,4.0,3.0,4.0,3.0,3,Yes,"Content was okay, though a few topics felt rushed.",2025-08-01
STU-00355,AI in Food Technology,May 2025 Batch,Maulana Azad College,Online,Female,3rd Year,5.0,5.0,5.0,5.0,5.0,5,Yes,The trainer's real-world examples made the sessions very useful.,2025-05-01
STU-00769,Competitive Programming,Apr 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,Graduate,5.0,5.0,5.0,5.0,5.0,5,Yes,"Really enjoyed the sessions, the trainer kept things engaging.",2025-04-01
STU-00208,Networking Fundamentals,Sep 2025 Batch,Government College of Engineering & Textile Technology,Online,Female,3rd Year,4.0,4.0,4.0,4.0,4.0,4,Yes,Trainer was knowledgeable and made even tough topics easy to grasp.,2025-09-01
STU-01375,AI in Food Technology,Feb 2025 Batch,St. Xavier's College Kolkata,Online,Female,Working Professional,5.0,5.0,4.0,4.0,4.0,4,Yes,The curriculum was well structured and relevant to current industry needs.,2025-02-01
STU-00962,Full Stack Development,May 2025 Batch,JIS College of Engineering,Hybrid,Male,4th Year,4.0,3.0,2.0,3.0,3.0,3,Yes,"Reasonably good, though I expected slightly more hands-on practice.",2025-05-01
STU-01075,Java FDP (Faculty Development),Oct 2025 Batch,Techno India University,Online,Prefer not to say,Graduate,5.0,5.0,5.0,5.0,5.0,5,Yes,The support team responded quickly whenever I had doubts.,2025-10-01
STU-00417,Machine Learning,Apr 2026 Batch,Techno India University,Offline,Female,2nd Year,4.0,4.0,5.0,4.0,3.0,4,Yes,Nothing to add.,2026-04-01
STU-01990,Blockchain Basics,Feb 2025 Batch,St. Xavier's College Kolkata,Online,Female,Working Professional,2.0,3.0,3.0,4.0,4.0,3,Yes,"Sessions felt monotonous, needed more interactive teaching.",2025-02-01
STU-01059,Machine Learning,May 2025 Batch,Government College of Engineering & Textile Technology,Offline,Male,Graduate,5.0,5.0,5.0,5.0,4.0,5,Yes,The curriculum was well structured and relevant to current industry needs.,2025-05-01
STU-01168,AI in Biotechnology,Mar 2026 Batch,Government College of Engineering & Textile Technology,Hybrid,Male,2nd Year,3.0,4.0,4.0,4.0,5.0,4,Yes,No comments.,2026-03-01
STU-00688,Python Programming,Apr 2025 Batch,Government College of Engineering & Textile Technology,Online,Prefer not to say,2nd Year,5.0,5.0,4.0,4.0,5.0,5,Yes,"Clear explanations, useful resources, and prompt doubt-clearing sessions.",2025-04-01
STU-00443,Networking Fundamentals,Aug 2025 Batch,JIS College of Engineering,Online,Female,3rd Year,3.0,4.0,3.0,3.0,2.0,3,Yes,"Decent program, could use a bit more structure in scheduling.",2025-08-01
STU-01651,Advanced Excel & Power BI,Apr 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,Graduate,4.0,5.0,5.0,5.0,4.0,5,Yes,"Great mentorship throughout the program, felt supported at every step.",2025-04-01
STU-00603,AI in Biotechnology,Jan 2025 Batch,Techno India University,Hybrid,Female,4th Year,4.0,4.0,3.0,5.0,4.0,4,Yes,"Reasonably good, though I expected slightly more hands-on practice.",2025-01-01
STU-01905,Web Development,Sep 2025 Batch,JIS College of Engineering,Online,Male,Graduate,3.0,2.0,1.0,3.0,3.0,2,No,"The sessions moved too fast, hard to keep up with the pace.",2025-09-01
STU-00349,AI in Food Technology,Jul 2025 Batch,JIS College of Engineering,Online,Female,1st Year,4.0,4.0,4.0,4.0,4.0,4,Yes,"Loved the hands-on projects, they really built my confidence.",2025-07-01
STU-00763,Web Development,May 2026 Batch,Maulana Azad College,Online,Male,Graduate,3.0,3.0,2.0,3.0,2.0,3,Yes,,2026-05-01
STU-00404,Machine Learning,Feb 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,3rd Year,4.0,3.0,3.0,5.0,3.0,3,Yes,No comments.,2025-02-01
STU-00363,AI in Food Technology,Feb 2025 Batch,Techno India University,Online,Male,4th Year,3.0,3.0,3.0,3.0,4.0,3,Yes,"Reasonably good, though I expected slightly more hands-on practice.",2025-02-01
